mode: atomic
myguy/internal/middleware/jwt.go:22.64,26.2 1 4
myguy/internal/services/review_service.go:50.2,51.16 2 9
myguy/internal/services/review_service.go:51.16,53.3 1 1
myguy/internal/services/review_service.go:55.2,55.32 1 8
myguy/internal/services/review_service.go:55.32,57.3 1 1
myguy/internal/services/review_service.go:60.2,60.108 1 7
myguy/internal/services/review_service.go:60.108,62.3 1 1
myguy/internal/services/review_service.go:65.2,66.41 2 6
myguy/internal/services/review_service.go:66.41,68.3 1 1
myguy/internal/services/review_service.go:70.2,78.57 2 5
myguy/internal/services/review_service.go:78.57,80.3 1 1
myguy/internal/services/review_service.go:82.2,82.20 1 4
myguy/internal/services/review_service.go:85.99,87.2 1 3
myguy/internal/services/review_service.go:89.109,91.2 1 2
myguy/internal/services/task_service.go:26.124,31.2 1 37
myguy/internal/services/task_service.go:50.100,59.34 5 3
myguy/internal/services/task_service.go:59.34,63.3 2 1
myguy/internal/services/task_service.go:65.2,74.53 2 2
myguy/internal/services/task_service.go:74.53,76.3 1 1
myguy/internal/services/task_service.go:78.2,78.18 1 1
myguy/internal/services/task_service.go:81.100,83.16 2 4
myguy/internal/services/task_service.go:83.16,85.3 1 1
myguy/internal/services/task_service.go:87.2,87.39 1 3
myguy/internal/services/task_service.go:87.39,89.3 1 1
myguy/internal/services/task_service.go:92.2,95.46 3 2
myguy/internal/services/task_service.go:95.46,99.3 2 1
myguy/internal/services/task_service.go:101.2,106.53 5 1
myguy/internal/services/task_service.go:106.53,108.3 1 0
myguy/internal/services/task_service.go:110.2,110.18 1 1
myguy/internal/services/task_service.go:113.87,115.16 2 2
myguy/internal/services/task_service.go:115.16,117.3 1 1
myguy/internal/services/task_service.go:118.2,118.18 1 1
myguy/internal/services/task_service.go:122.91,124.2 1 0
myguy/internal/services/task_service.go:126.87,128.16 2 3
myguy/internal/services/task_service.go:128.16,130.3 1 1
myguy/internal/services/task_service.go:132.2,132.30 1 2
myguy/internal/services/task_service.go:132.30,134.3 1 1
myguy/internal/services/task_service.go:136.2,136.39 1 1
myguy/internal/services/task_service.go:139.109,141.2 1 1
myguy/internal/services/task_service.go:151.131,155.14 3 2
myguy/internal/services/task_service.go:155.14,157.3 1 1
myguy/internal/services/task_service.go:158.2,158.17 1 2
myguy/internal/services/task_service.go:158.17,160.3 1 1
myguy/internal/services/task_service.go:163.2,164.16 2 2
myguy/internal/services/task_service.go:164.16,166.3 1 0
myguy/internal/services/task_service.go:169.2,170.16 2 2
myguy/internal/services/task_service.go:170.16,172.3 1 0
myguy/internal/services/task_service.go:174.2,182.8 2 2
myguy/internal/services/task_service.go:185.107,187.2 1 2
myguy/internal/services/task_service.go:189.126,191.16 2 3
myguy/internal/services/task_service.go:191.16,193.3 1 1
myguy/internal/services/task_service.go:195.2,195.27 1 2
myguy/internal/services/task_service.go:195.27,197.3 1 1
myguy/internal/services/task_service.go:199.2,207.51 2 1
myguy/internal/services/task_service.go:210.105,212.16 2 3
myguy/internal/services/task_service.go:212.16,214.3 1 1
myguy/internal/services/task_service.go:216.2,217.16 2 2
myguy/internal/services/task_service.go:217.16,219.3 1 1
myguy/internal/services/task_service.go:221.2,225.53 4 1
myguy/internal/services/task_service.go:225.53,227.3 1 0
myguy/internal/services/task_service.go:229.2,230.67 2 1
myguy/internal/services/task_service.go:230.67,232.3 1 0
myguy/internal/services/task_service.go:234.2,234.18 1 1
myguy/internal/services/task_service.go:237.89,239.16 2 4
myguy/internal/services/task_service.go:239.16,241.3 1 1
myguy/internal/services/task_service.go:243.2,243.88 1 3
myguy/internal/services/task_service.go:243.88,245.3 1 1
myguy/internal/services/task_service.go:247.2,250.37 4 2
myguy/internal/services/task_service.go:255.124,257.16 2 6
myguy/internal/services/task_service.go:257.16,259.3 1 0
myguy/internal/services/task_service.go:262.2,262.27 1 6
myguy/internal/services/task_service.go:262.27,264.89 1 3
myguy/internal/services/task_service.go:264.89,266.4 1 0
myguy/internal/services/task_service.go:267.8,269.31 1 3
myguy/internal/services/task_service.go:269.31,271.4 1 1
myguy/internal/services/task_service.go:278.2,279.21 2 5
myguy/internal/services/task_service.go:280.14,282.69 1 2
myguy/internal/services/task_service.go:283.21,285.67 1 2
myguy/internal/services/task_service.go:286.19,288.42 1 0
myguy/internal/services/task_service.go:289.19,291.37 1 1
myguy/internal/services/task_service.go:294.2,294.22 1 5
myguy/internal/services/task_service.go:294.22,296.3 1 1
myguy/internal/services/task_service.go:299.2,302.27 2 4
myguy/internal/services/task_service.go:302.27,305.3 2 2
myguy/internal/services/task_service.go:308.2,308.22 1 4
myguy/internal/services/task_service.go:308.22,311.3 2 1
myguy/internal/services/task_service.go:313.2,313.53 1 4
myguy/internal/services/task_service.go:313.53,315.3 1 0
myguy/internal/services/task_service.go:317.2,317.18 1 4
myguy/internal/services/task_service.go:322.89,324.16 2 3
myguy/internal/services/task_service.go:324.16,326.3 1 1
myguy/internal/services/task_service.go:328.2,328.37 1 2
myguy/internal/services/task_service.go:328.37,330.3 1 1
myguy/internal/services/task_service.go:332.2,334.51 3 1
myguy/internal/services/task_service.go:338.107,340.2 1 1
myguy/internal/services/user_service.go:22.72,26.2 1 19
myguy/internal/services/user_service.go:43.108,45.67 1 4
myguy/internal/services/user_service.go:45.67,47.3 1 1
myguy/internal/services/user_service.go:50.2,50.73 1 3
myguy/internal/services/user_service.go:50.73,52.3 1 1
myguy/internal/services/user_service.go:55.2,56.16 2 2
myguy/internal/services/user_service.go:56.16,58.3 1 0
myguy/internal/services/user_service.go:60.2,67.53 2 2
myguy/internal/services/user_service.go:67.53,69.3 1 1
myguy/internal/services/user_service.go:71.2,76.8 1 1
myguy/internal/services/user_service.go:79.104,81.16 2 3
myguy/internal/services/user_service.go:81.16,83.3 1 1
myguy/internal/services/user_service.go:85.2,85.95 1 2
myguy/internal/services/user_service.go:85.95,87.3 1 1
myguy/internal/services/user_service.go:89.2,97.8 1 1
myguy/internal/services/user_service.go:100.98,102.16 2 2
myguy/internal/services/user_service.go:102.16,104.3 1 1
myguy/internal/services/user_service.go:106.2,114.8 1 1
myguy/internal/services/user_service.go:117.123,119.16 2 3
myguy/internal/services/user_service.go:119.16,121.3 1 1
myguy/internal/services/user_service.go:123.2,126.53 3 2
myguy/internal/services/user_service.go:126.53,128.3 1 1
myguy/internal/services/user_service.go:130.2,138.8 1 1
myguy/internal/services/user_service.go:141.91,143.16 2 2
myguy/internal/services/user_service.go:143.16,145.3 1 1
myguy/internal/services/user_service.go:147.2,156.8 1 1
myguy/internal/services/user_service.go:159.108,161.16 2 5
myguy/internal/services/user_service.go:161.16,163.3 1 1
myguy/internal/services/user_service.go:165.2,165.26 1 4
myguy/internal/services/user_service.go:165.26,167.3 1 3
myguy/internal/services/user_service.go:168.2,168.23 1 4
myguy/internal/services/user_service.go:168.23,170.110 1 3
myguy/internal/services/user_service.go:170.110,172.4 1 1
myguy/internal/services/user_service.go:173.3,173.27 1 2
myguy/internal/services/user_service.go:175.2,175.29 1 3
myguy/internal/services/user_service.go:175.29,177.3 1 1
myguy/internal/services/user_service.go:178.2,178.21 1 3
myguy/internal/services/user_service.go:178.21,180.3 1 1
myguy/internal/services/user_service.go:182.2,182.53 1 3
myguy/internal/services/user_service.go:182.53,184.3 1 0
myguy/internal/services/user_service.go:186.2,195.8 1 3
myguy/internal/api/handlers.go:26.12,33.2 1 16
myguy/internal/api/handlers.go:42.44,44.47 2 1
myguy/internal/api/handlers.go:44.47,47.3 2 0
myguy/internal/api/handlers.go:49.2,56.16 2 1
myguy/internal/api/handlers.go:56.16,59.3 2 0
myguy/internal/api/handlers.go:61.2,61.34 1 1
myguy/internal/api/handlers.go:69.41,71.47 2 1
myguy/internal/api/handlers.go:71.47,74.3 2 0
myguy/internal/api/handlers.go:76.2,77.16 2 1
myguy/internal/api/handlers.go:77.16,80.3 2 0
myguy/internal/api/handlers.go:82.2,83.16 2 1
myguy/internal/api/handlers.go:83.16,86.3 2 0
myguy/internal/api/handlers.go:88.2,91.4 1 1
myguy/internal/api/handlers.go:101.46,103.47 2 1
myguy/internal/api/handlers.go:103.47,106.3 2 0
myguy/internal/api/handlers.go:109.2,110.16 2 1
myguy/internal/api/handlers.go:110.16,113.3 2 0
myguy/internal/api/handlers.go:115.2,124.16 3 1
myguy/internal/api/handlers.go:124.16,127.3 2 0
myguy/internal/api/handlers.go:129.2,129.34 1 1
myguy/internal/api/handlers.go:132.43,134.16 2 1
myguy/internal/api/handlers.go:134.16,137.3 2 0
myguy/internal/api/handlers.go:139.2,140.16 2 1
myguy/internal/api/handlers.go:140.16,143.3 2 0
myguy/internal/api/handlers.go:145.2,145.29 1 1
myguy/internal/api/handlers.go:149.46,151.16 2 1
myguy/internal/api/handlers.go:151.16,154.3 2 0
myguy/internal/api/handlers.go:156.2,157.47 2 1
myguy/internal/api/handlers.go:157.47,160.3 2 0
myguy/internal/api/handlers.go:163.2,164.16 2 1
myguy/internal/api/handlers.go:164.16,167.3 2 0
myguy/internal/api/handlers.go:169.2,180.16 4 1
myguy/internal/api/handlers.go:180.16,181.14 1 0
myguy/internal/api/handlers.go:182.33,183.65 1 0
myguy/internal/api/handlers.go:184.33,185.86 1 0
myguy/internal/api/handlers.go:186.36,187.111 1 0
myguy/internal/api/handlers.go:188.11,189.83 1 0
myguy/internal/api/handlers.go:191.3,191.9 1 0
myguy/internal/api/handlers.go:194.2,194.29 1 1
myguy/internal/api/handlers.go:198.45,203.47 2 1
myguy/internal/api/handlers.go:203.47,205.3 1 0
myguy/internal/api/handlers.go:208.2,208.47 1 1
myguy/internal/api/handlers.go:208.47,210.3 1 0
myguy/internal/api/handlers.go:213.2,213.48 1 1
myguy/internal/api/handlers.go:213.48,214.61 1 0
myguy/internal/api/handlers.go:214.61,216.4 1 0
myguy/internal/api/handlers.go:218.2,218.48 1 1
myguy/internal/api/handlers.go:218.48,219.61 1 0
myguy/internal/api/handlers.go:219.61,221.4 1 0
myguy/internal/api/handlers.go:225.2,225.60 1 1
myguy/internal/api/handlers.go:225.60,227.3 1 0
myguy/internal/api/handlers.go:230.2,230.48 1 1
myguy/internal/api/handlers.go:230.48,232.3 1 0
myguy/internal/api/handlers.go:233.2,233.57 1 1
myguy/internal/api/handlers.go:233.57,235.3 1 0
myguy/internal/api/handlers.go:238.2,240.35 3 1
myguy/internal/api/handlers.go:240.35,241.65 1 0
myguy/internal/api/handlers.go:241.65,243.4 1 0
myguy/internal/api/handlers.go:245.2,245.41 1 1
myguy/internal/api/handlers.go:245.41,246.93 1 0
myguy/internal/api/handlers.go:246.93,248.4 1 0
myguy/internal/api/handlers.go:250.2,257.54 4 1
myguy/internal/api/handlers.go:257.54,259.3 1 0
myguy/internal/api/handlers.go:259.8,259.64 1 1
myguy/internal/api/handlers.go:259.64,262.3 1 0
myguy/internal/api/handlers.go:262.8,262.64 1 1
myguy/internal/api/handlers.go:262.64,265.17 2 0
myguy/internal/api/handlers.go:265.17,267.4 1 0
myguy/internal/api/handlers.go:268.8,268.86 1 1
myguy/internal/api/handlers.go:268.86,271.17 2 0
myguy/internal/api/handlers.go:271.17,273.4 1 0
myguy/internal/api/handlers.go:277.2,278.16 2 1
myguy/internal/api/handlers.go:278.16,281.3 2 0
myguy/internal/api/handlers.go:283.2,283.31 1 1
myguy/internal/api/handlers.go:287.48,291.16 3 1
myguy/internal/api/handlers.go:291.16,294.3 2 0
myguy/internal/api/handlers.go:296.2,296.30 1 1
myguy/internal/api/handlers.go:301.52,306.16 3 0
myguy/internal/api/handlers.go:306.16,309.3 2 0
myguy/internal/api/handlers.go:312.2,312.76 1 0
myguy/internal/api/handlers.go:312.76,315.30 2 0
myguy/internal/api/handlers.go:315.30,316.32 1 0
myguy/internal/api/handlers.go:316.32,318.5 1 0
myguy/internal/api/handlers.go:320.3,320.24 1 0
myguy/internal/api/handlers.go:323.2,323.30 1 0
myguy/internal/api/handlers.go:331.48,333.16 2 1
myguy/internal/api/handlers.go:333.16,336.3 2 0
myguy/internal/api/handlers.go:338.2,339.47 2 1
myguy/internal/api/handlers.go:339.47,342.3 2 0
myguy/internal/api/handlers.go:344.2,346.16 3 1
myguy/internal/api/handlers.go:346.16,349.3 2 0
myguy/internal/api/handlers.go:351.2,351.30 1 1
myguy/internal/api/handlers.go:358.56,360.16 2 1
myguy/internal/api/handlers.go:360.16,363.3 2 0
myguy/internal/api/handlers.go:365.2,366.16 2 1
myguy/internal/api/handlers.go:366.16,369.3 2 0
myguy/internal/api/handlers.go:371.2,372.47 2 1
myguy/internal/api/handlers.go:372.47,375.3 2 0
myguy/internal/api/handlers.go:377.2,381.16 3 1
myguy/internal/api/handlers.go:381.16,384.3 2 0
myguy/internal/api/handlers.go:386.2,386.30 1 1
myguy/internal/api/handlers.go:386.30,389.3 2 0
myguy/internal/api/handlers.go:392.2,393.30 2 1
myguy/internal/api/handlers.go:393.30,395.17 2 1
myguy/internal/api/handlers.go:395.17,396.46 1 0
myguy/internal/api/handlers.go:396.46,399.5 2 0
myguy/internal/api/handlers.go:400.4,401.10 2 0
myguy/internal/api/handlers.go:403.8,406.17 2 0
myguy/internal/api/handlers.go:406.17,407.46 1 0
myguy/internal/api/handlers.go:407.46,410.5 2 0
myguy/internal/api/handlers.go:411.4,412.10 2 0
myguy/internal/api/handlers.go:416.2,416.24 1 1
myguy/internal/api/handlers.go:416.24,423.3 1 1
myguy/internal/api/handlers.go:423.8,425.3 1 0
myguy/internal/api/handlers.go:434.48,436.16 2 1
myguy/internal/api/handlers.go:436.16,439.3 2 0
myguy/internal/api/handlers.go:441.2,442.47 2 1
myguy/internal/api/handlers.go:442.47,445.3 2 0
myguy/internal/api/handlers.go:447.2,451.16 3 1
myguy/internal/api/handlers.go:451.16,454.3 2 0
myguy/internal/api/handlers.go:457.2,458.34 2 1
myguy/internal/api/handlers.go:458.34,460.29 1 1
myguy/internal/api/handlers.go:460.29,463.4 2 0
myguy/internal/api/handlers.go:464.3,464.36 1 1
myguy/internal/api/handlers.go:465.8,465.69 1 0
myguy/internal/api/handlers.go:465.69,468.3 1 0
myguy/internal/api/handlers.go:468.8,471.3 2 0
myguy/internal/api/handlers.go:473.2,481.16 2 1
myguy/internal/api/handlers.go:481.16,484.3 2 0
myguy/internal/api/handlers.go:486.2,486.36 1 1
myguy/internal/api/handlers.go:489.50,491.16 2 0
myguy/internal/api/handlers.go:491.16,494.3 2 0
myguy/internal/api/handlers.go:496.2,497.16 2 0
myguy/internal/api/handlers.go:497.16,500.3 2 0
myguy/internal/api/handlers.go:502.2,502.32 1 0
myguy/internal/api/handlers.go:506.47,508.16 2 0
myguy/internal/api/handlers.go:508.16,511.3 2 0
myguy/internal/api/handlers.go:513.2,514.16 2 0
myguy/internal/api/handlers.go:514.16,515.38 1 0
myguy/internal/api/handlers.go:515.38,517.4 1 0
myguy/internal/api/handlers.go:517.9,519.4 1 0
myguy/internal/api/handlers.go:520.3,520.9 1 0
myguy/internal/api/handlers.go:523.2,523.29 1 0
myguy/internal/api/handlers.go:533.46,536.16 3 1
myguy/internal/api/handlers.go:536.16,539.3 2 0
myguy/internal/api/handlers.go:541.2,541.29 1 1
myguy/internal/api/handlers.go:544.49,546.47 2 1
myguy/internal/api/handlers.go:546.47,549.3 2 0
myguy/internal/api/handlers.go:551.2,560.16 3 1
myguy/internal/api/handlers.go:560.16,563.3 2 0
myguy/internal/api/handlers.go:565.2,565.29 1 1
myguy/internal/api/handlers.go:574.52,576.16 2 1
myguy/internal/api/handlers.go:576.16,579.3 2 0
myguy/internal/api/handlers.go:581.2,582.47 2 1
myguy/internal/api/handlers.go:582.47,585.3 2 0
myguy/internal/api/handlers.go:587.2,589.16 3 1
myguy/internal/api/handlers.go:589.16,590.14 1 0
myguy/internal/api/handlers.go:591.33,592.65 1 0
myguy/internal/api/handlers.go:593.33,594.95 1 0
myguy/internal/api/handlers.go:595.34,596.78 1 0
myguy/internal/api/handlers.go:597.11,598.90 1 0
myguy/internal/api/handlers.go:600.3,600.9 1 0
myguy/internal/api/handlers.go:603.2,603.29 1 1
myguy/internal/api/handlers.go:607.46,609.16 2 1
myguy/internal/api/handlers.go:609.16,612.3 2 0
myguy/internal/api/handlers.go:614.2,616.16 3 1
myguy/internal/api/handlers.go:616.16,617.14 1 0
myguy/internal/api/handlers.go:618.33,619.65 1 0
myguy/internal/api/handlers.go:620.33,621.86 1 0
myguy/internal/api/handlers.go:622.11,623.83 1 0
myguy/internal/api/handlers.go:625.3,625.9 1 0
myguy/internal/api/handlers.go:628.2,628.70 1 1
myguy/internal/api/handlers.go:632.49,647.2 3 1
myguy/internal/api/handlers.go:650.55,652.16 2 1
myguy/internal/api/handlers.go:652.16,655.3 2 0
myguy/internal/api/handlers.go:657.2,658.16 2 1
myguy/internal/api/handlers.go:658.16,661.3 2 0
myguy/internal/api/handlers.go:663.2,663.37 1 1
